date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:52	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-5380861bf418b%22	http://zero.camilochacon.com/fonts/glyphicons-halflings-regular.svg	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/fonts/glyphicons-halflings-regular.svg	(from http://zero.camilochacon.com/css/bootstrap.min.css)
17:46:52	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%225b80-5380861d8c4cb%22	http://zero.camilochacon.com/fonts/glyphicons-halflings-regular.woff	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/fonts/glyphicons-halflings-regular.woff	(from http://zero.camilochacon.com/css/bootstrap.min.css)
17:46:52	776/776	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Jun%202016%2011:01:33%20GMT	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.5.0/styles/default.min.css	C:/Users/percy/Desktop/JUEGOS/go/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.5.0/styles/default.min.css	(from http://zero.camilochacon.com/level2.html)
17:46:53	531/531	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2017%20Oct%202016%2022:46:53%20GMT	http://zero.camilochacon.com/box.png	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/box.23.delayed	(from http://zero.camilochacon.com/level2.html)
17:46:56	587488/587488	---MCZ	200	added ('OK')	application/javascript	etag:%228f6e0-53808688fd2eb-gzip%22	http://zero.camilochacon.com/scripts/blockly_compressed.js	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/scripts/blockly_compressed.js	(from http://zero.camilochacon.com/index.html)
17:46:56	531/531	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2017%20Oct%202016%2022:46:57%20GMT	http://zero.camilochacon.com/rex.png	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/rex.html	(from http://zero.camilochacon.com/index.html)
17:46:56	531/531	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2017%20Oct%202016%2022:46:57%20GMT	http://zero.camilochacon.com/coin.png	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/coin.html	(from http://zero.camilochacon.com/index.html)
17:47:06	1358606/1358606	---MCZ	200	added ('OK')	application/javascript	etag:%2214bb0e-5380869f0d9eb-gzip%22	http://zero.camilochacon.com/scripts/browser.min.js	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/scripts/browser.min.js	(from http://zero.camilochacon.com/level2.html)
17:47:06	0/-1	---M--	500	error ('')			http://zero.camilochacon.com/box.png	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/box.html	(from http://zero.camilochacon.com/level2.html)
17:47:07	531/531	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2017%20Oct%202016%2022:47:07%20GMT	http://zero.camilochacon.com/rex.png	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/rex.html	(from http://zero.camilochacon.com/index.html)
17:47:07	531/531	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2017%20Oct%202016%2022:47:07%20GMT	http://zero.camilochacon.com/coin.png	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/coin.html	(from http://zero.camilochacon.com/index.html)
17:47:07	0/-1	---M--	500	error ('')			http://zero.camilochacon.com/box.png	C:/Users/percy/Desktop/JUEGOS/go/zero.camilochacon.com/box.html	(from http://zero.camilochacon.com/level2.html)
